run,rtt_conn1_mean_ms,rtt_conn2_mean_ms,rtt_total_mean_ms,tp_conn1_mean_mbs,tp_conn2_mean_mbs,tp_total_mean_mbs,transfer_time_s,excluded
run_20260903_074319,106.21,70.39,88.3,3.15,3.1,6.25,8.03,False
run_20260903_074411,102.39,65.12,83.76,3.13,2.52,5.32,9.4,False
run_20260903_074500,98.83,83.65,91.24,2.39,4.42,4.93,10.24,False
run_20260903_074605,141.09,78.6,109.85,3.9,2.81,5.29,9.45,False
run_20260903_074654,73.11,39.66,56.38,2.14,3.99,4.26,11.8,False
run_20260903_074755,72.89,39.64,56.27,2.14,3.9,4.28,11.74,False
run_20260903_074844,72.82,39.43,56.12,2.08,3.77,4.14,12.11,False
run_20260903_074950,93.04,141.2,117.12,1.89,4.76,3.44,14.62,True
run_20260903_075041,93.58,73.59,83.59,2.01,3.66,4.21,11.94,False
run_20260903_075621,79.25,47.76,63.51,2.0,3.53,4.0,12.55,True
run_20260903_075709,73.69,42.08,57.89,2.12,4.6,4.21,11.98,False
run_20260903_075141,74.99,44.18,59.58,2.06,4.23,4.09,12.28,False
run_20260903_075228,85.79,66.39,76.09,2.09,4.9,4.4,11.46,False
run_20260903_075330,104.38,92.29,98.33,2.37,4.6,5.01,10.06,False
run_20260903_075425,105.1,83.36,94.23,1.74,2.84,3.7,13.55,True
run_20260903_075512,92.24,65.81,79.02,2.56,3.84,5.26,9.54,False
run_20260903_075810,102.57,76.8,89.68,1.58,2.42,3.23,15.5,True
run_20260903_075917,124.66,133.86,129.26,2.29,3.16,4.07,12.36,False
run_20260903_080006,73.71,42.22,57.97,2.1,4.3,4.15,12.09,False
run_20260903_080054,113.18,75.7,94.44,3.11,2.97,5.99,8.32,False
