timestamp,file_offset,block_offset,block_size,server_block_size,current_offset
2026-08-17 02:27:43.811567,102000,0,68000,34000,544000
2026-08-17 02:27:43.813382,204000,0,68000,34000,612000
2026-08-17 02:27:43.814543,238000,0,68000,34000,646000
2026-08-17 02:27:43.824712,272000,0,68000,34000,1258000
2026-08-17 02:27:43.825247,340000,0,68000,68000,1292000
2026-08-17 02:27:43.828240,408000,0,68000,27200,1462000
2026-08-17 02:27:43.835438,476000,0,68000,34000,1591200
2026-08-17 02:27:43.837107,510000,0,68000,68000,1618400
2026-08-17 02:27:43.845614,578000,0,68000,6800,2060400
2026-08-17 02:27:43.848378,612000,0,68000,34000,2135200
2026-08-17 02:27:43.849628,673200,0,68000,68000,2135200
2026-08-17 02:27:43.867351,734400,0,68000,6800,3434000
2026-08-17 02:27:43.869788,795600,0,68000,25500,3508800
2026-08-17 02:27:43.871071,856800,0,68000,32210,3508800
2026-08-17 02:27:43.872180,979200,0,68000,43714,3508800
2026-08-17 02:27:43.873913,1040400,0,68000,37090,3515600
2026-08-17 02:27:43.875004,1101600,0,68000,68000,3559314
2026-08-17 02:27:43.876655,1135600,0,68000,68000,3596404
2026-08-17 02:27:43.910193,1196800,0,68000,34000,5228404
2026-08-17 02:27:43.913366,1264800,0,68000,6800,5262404
2026-08-17 02:27:43.916695,1298800,0,68000,22666,5303204
2026-08-17 02:27:43.918336,1332800,0,68000,22666,5332670
2026-08-17 02:27:43.921638,1366800,0,68000,34000,5355336
2026-08-17 02:27:43.925040,1489200,0,68000,34000,5446002
2026-08-17 02:27:43.927323,1550400,0,68000,68000,5514002
2026-08-17 02:27:43.941147,1611600,0,68000,34000,6330002
2026-08-17 02:27:43.941147,1672800,0,68000,68000,6364002
2026-08-17 02:27:43.950032,1734000,0,68000,34000,6634212
2026-08-17 02:27:43.953256,1795200,0,68000,34000,6700422
2026-08-17 02:27:43.963462,1856400,0,68000,6800,7244422
2026-08-17 02:27:43.967262,1917600,0,68000,32210,7326022
2026-08-17 02:27:43.968283,1978800,0,68000,32210,7326022
2026-08-17 02:27:43.986195,2046800,0,68000,6800,7728292
2026-08-17 02:27:43.988373,2169200,0,68000,32380,7767302
2026-08-17 02:27:43.999814,2230400,0,68000,34000,7937622
2026-08-17 02:27:44.000967,2291600,0,68000,68000,7970002
2026-08-17 02:27:44.002602,2386800,0,68000,68000,7970002
2026-08-17 02:27:44.004707,2488800,0,68000,68000,8072002
2026-08-17 02:27:44.013419,2611200,0,68000,68000,8888002
2026-08-17 02:27:44.015790,2672400,0,68000,53217,8956002
2026-08-17 02:27:44.026535,2733600,0,68000,6800,9518647
2026-08-17 02:27:44.029067,2794800,0,68000,43714,9547939
2026-08-17 02:27:44.037739,2856000,0,68000,6800,9817023
2026-08-17 02:27:44.040919,3012400,0,68000,32210,9856033
2026-08-17 02:27:44.042191,3080400,0,68000,68000,9862833
2026-08-17 02:27:44.057071,3148400,0,68000,6800,10711043
2026-08-17 02:27:44.059434,3216400,0,68000,61818,10785843
2026-08-17 02:27:44.062390,3250400,0,68000,40800,10792643
2026-08-17 02:27:44.064111,3318400,0,68000,34000,10854461
2026-08-17 02:27:44.081091,3386400,0,68000,34000,11473261
2026-08-17 02:27:44.087529,3454400,0,68000,6800,11541261
2026-08-17 02:27:44.089155,3515600,0,68000,34000,11541261
2026-08-17 02:27:44.089696,3576800,0,68000,68000,11575261
2026-08-17 02:27:44.092470,3638000,0,68000,68000,11609261
2026-08-17 02:27:44.096934,3760400,0,68000,68000,11677261
2026-08-17 02:27:44.099159,3882800,0,68000,68000,11745261
2026-08-17 02:27:44.100228,3944000,0,68000,68000,11813261
2026-08-17 02:27:44.102330,4066400,0,68000,68000,11813261
2026-08-17 02:27:44.103489,4127600,0,68000,68000,11813261
2026-08-17 02:27:44.134164,4311200,0,68000,21103,13717261
2026-08-17 02:27:44.139626,4372400,0,68000,34000,14010364
2026-08-17 02:27:44.141322,4494800,0,68000,68000,14078364
2026-08-17 02:27:44.143498,4556000,0,68000,32210,14180364
2026-08-17 02:27:44.146065,4658000,0,68000,68000,14248364
2026-08-17 02:27:44.149297,4719200,0,68000,68000,14280574
2026-08-17 02:27:44.150907,4875600,0,68000,68000,14416574
2026-08-17 02:27:44.154179,4943600,0,68000,68000,14824574
2026-08-17 02:27:44.186482,5018400,0,68000,6800,14824574
2026-08-17 02:27:44.188703,5147600,0,68000,34000,14824574
2026-08-17 02:27:44.189908,5215600,0,68000,47104,14824574
2026-08-17 02:27:44.190997,5276800,0,68000,26714,14824574
2026-08-17 02:27:44.192137,5399200,0,68000,32210,14824574
2026-08-17 02:27:44.193286,5460400,0,68000,43714,14824574
2026-08-17 02:27:44.196211,5582800,0,68000,68000,14824574
2026-08-17 02:27:44.197661,5644000,0,68000,68000,14824574
2026-08-17 02:27:44.198852,5705200,0,68000,68000,14824574
2026-08-17 02:27:44.200397,5773200,0,68000,68000,14824574
2026-08-17 02:27:44.201497,5841200,0,68000,68000,14824574
2026-08-17 02:27:44.202635,5875200,0,68000,68000,14824574
2026-08-17 02:27:44.203771,5977200,0,68000,68000,14824574
2026-08-17 02:27:44.205455,6079200,0,68000,68000,14824574
2026-08-17 02:27:44.206588,6181200,0,68000,68000,14824574
2026-08-17 02:27:44.208299,6215200,0,68000,68000,14824574
2026-08-17 02:27:44.210085,6249200,0,68000,68000,14824574
2026-08-17 02:27:44.212309,6310400,0,68000,68000,14824574
2026-08-17 02:27:44.216373,6378400,0,68000,68000,14824574
2026-08-17 02:27:44.218071,6446400,0,68000,34000,14824574
2026-08-17 02:27:44.219188,6514400,0,68000,68000,14824574
2026-08-17 02:27:44.320139,6582400,0,68000,6800,14858574
2026-08-17 02:27:44.321246,6766000,0,68000,68000,14858574
2026-08-17 02:27:44.322981,6895200,0,68000,68000,14858574
2026-08-17 02:27:44.324113,6997200,0,68000,68000,14858574
2026-08-17 02:27:44.325238,7099200,0,68000,68000,14858574
2026-08-17 02:27:44.326337,7133200,0,68000,68000,14858574
2026-08-17 02:27:44.347829,7201200,0,68000,34000,14858574
2026-08-17 02:27:44.349540,7269200,0,68000,51000,14858574
2026-08-17 02:27:44.351225,7364400,0,68000,34000,14858574
2026-08-17 02:27:44.353063,7425600,0,68000,32827,14858574
2026-08-17 02:27:44.354730,7588800,0,68000,43714,14858574
2026-08-17 02:27:44.356407,7622800,0,68000,40800,14926574
2026-08-17 02:27:44.358337,7758800,0,68000,68000,14926574
2026-08-17 02:27:44.359456,7860800,0,68000,40800,14926574
2026-08-17 02:27:44.361243,7922000,0,68000,68000,14926574
2026-08-17 02:27:44.363391,7983200,0,68000,68000,14926574
2026-08-17 02:27:44.364934,8105600,0,68000,68000,14926574
2026-08-17 02:27:44.366519,8200800,0,68000,68000,14926574
2026-08-17 02:27:44.400153,8268800,0,68000,68000,14926574
2026-08-17 02:27:44.402248,8364000,0,68000,68000,14926574
2026-08-17 02:27:44.404336,8459200,0,68000,44551,14926574
2026-08-17 02:27:44.404336,8561200,0,68000,39666,14926574
2026-08-17 02:27:44.408059,8663200,0,68000,22666,14926574
2026-08-17 02:27:44.409698,8724400,0,68000,40800,14926574
2026-08-17 02:27:44.411492,8785600,0,68000,43714,14926574
2026-08-17 02:27:44.422607,8846800,0,68000,34000,14933374
2026-08-17 02:27:44.424276,8969200,0,68000,32210,14933374
2026-08-17 02:27:44.426997,9037200,0,68000,6800,14933374
2026-08-17 02:27:44.430244,9105200,0,68000,68000,14933374
2026-08-17 02:27:44.432372,9166400,0,68000,68000,14933374
2026-08-17 02:27:44.433581,9227600,0,68000,68000,14933374
2026-08-17 02:27:44.434773,9350000,0,68000,68000,14933374
2026-08-17 02:27:44.436439,9384000,0,68000,68000,14933374
2026-08-17 02:27:44.437591,9506400,0,68000,68000,14933374
2026-08-17 02:27:44.533223,9567600,0,68000,6800,14969164
2026-08-17 02:27:44.535308,9628800,0,68000,68000,14969164
2026-08-17 02:27:44.536844,9690000,0,68000,26071,14969164
2026-08-17 02:27:44.537920,9751200,0,68000,25782,14969164
2026-08-17 02:27:44.539549,9934800,0,68000,38567,14969164
2026-08-17 02:27:44.540623,10002800,0,68000,38250,14969164
2026-08-17 02:27:44.542259,10098000,0,68000,46143,14969164
2026-08-17 02:27:44.543199,10132000,0,68000,68000,14969164
2026-08-17 02:27:44.547019,10193200,0,68000,68000,14969164
2026-08-17 02:27:44.548704,10322400,0,68000,68000,14969164
2026-08-17 02:27:44.550379,10383600,0,68000,68000,14969164
