timestamp,sendQueueLen,fillChanLen,sentPacketNumber,gapFillReceived,fillChanDropped
2026-08-17T02:27:43.124078Z,5,0,5,1,0
2026-08-17T02:27:43.1289664Z,9,0,6,1,0
2026-08-17T02:27:43.1341859Z,14,0,10,2,0
2026-08-17T02:27:43.1391376Z,19,0,12,2,0
2026-08-17T02:27:43.1442626Z,25,0,13,4,0
2026-08-17T02:27:43.1492281Z,31,0,15,6,0
2026-08-17T02:27:43.1538749Z,36,0,16,6,0
2026-08-17T02:27:43.1590391Z,39,0,18,7,0
2026-08-17T02:27:43.1643635Z,42,0,20,7,0
2026-08-17T02:27:43.1689945Z,43,0,22,7,0
2026-08-17T02:27:43.1740321Z,48,0,22,8,0
2026-08-17T02:27:43.1789445Z,52,0,22,9,0
2026-08-17T02:27:43.1842965Z,54,0,22,9,0
2026-08-17T02:27:43.1890012Z,56,0,23,9,0
2026-08-17T02:27:43.193977Z,60,0,23,10,0
2026-08-17T02:27:43.1992104Z,62,0,25,10,0
2026-08-17T02:27:43.2043437Z,63,0,28,10,0
2026-08-17T02:27:43.2093802Z,66,0,30,10,0
2026-08-17T02:27:43.2144274Z,75,0,30,14,0
2026-08-17T02:27:43.2196559Z,78,0,30,14,0
2026-08-17T02:27:43.224158Z,80,0,30,14,0
2026-08-17T02:27:43.2291619Z,82,0,30,14,0
2026-08-17T02:27:43.2339814Z,84,0,30,14,0
2026-08-17T02:27:43.239176Z,87,0,30,15,0
2026-08-17T02:27:43.2442121Z,90,0,30,15,0
2026-08-17T02:27:43.2489999Z,92,0,30,15,0
2026-08-17T02:27:43.2543333Z,93,0,33,15,0
2026-08-17T02:27:43.2594221Z,96,0,34,15,0
2026-08-17T02:27:43.2645408Z,98,0,34,15,0
2026-08-17T02:27:43.2690702Z,102,0,34,16,0
2026-08-17T02:27:43.2741338Z,104,0,34,16,0
2026-08-17T02:27:43.2795921Z,106,0,37,16,0
2026-08-17T02:27:43.2842578Z,113,0,37,19,0
2026-08-17T02:27:43.288955Z,115,0,37,19,0
2026-08-17T02:27:43.2940696Z,119,0,37,20,0
2026-08-17T02:27:43.2992513Z,123,0,37,20,0
2026-08-17T02:27:43.3041312Z,127,0,37,20,0
2026-08-17T02:27:43.3091276Z,132,0,37,23,0
2026-08-17T02:27:43.3139448Z,134,0,39,23,0
2026-08-17T02:27:43.3193313Z,135,0,43,24,0
2026-08-17T02:27:43.3244228Z,139,0,44,24,0
2026-08-17T02:27:43.3291633Z,142,0,44,24,0
2026-08-17T02:27:43.3340941Z,147,0,44,24,0
2026-08-17T02:27:43.3391828Z,148,0,48,24,0
2026-08-17T02:27:43.344322Z,153,0,49,25,0
2026-08-17T02:27:43.3490204Z,155,0,51,25,0
2026-08-17T02:27:43.3543857Z,163,0,52,28,0
2026-08-17T02:27:43.3593356Z,166,0,52,28,0
2026-08-17T02:27:43.3643956Z,173,0,53,32,0
2026-08-17T02:27:43.3689854Z,177,0,55,33,0
2026-08-17T02:27:43.3745841Z,179,0,56,33,0
2026-08-17T02:27:43.3790454Z,183,0,59,34,0
2026-08-17T02:27:43.3839973Z,188,0,60,34,0
