timestamp,conn_id,data_size,offset,throughput
2026-07-15T02:05:12.7965838Z,conn2,34000,0,0.89
2026-07-15T02:05:12.8383143Z,conn2,34000,68000,0.78
2026-07-15T02:05:12.8388763Z,conn1,34000,34000,0.81
2026-07-15T02:05:12.8838839Z,conn2,34000,136000,0.73
2026-07-15T02:05:12.8962172Z,conn1,34000,102000,0.57
2026-07-15T02:05:12.9443433Z,conn2,67185,204000,1.07
2026-07-15T02:05:12.9530514Z,conn1,34000,170000,0.57
2026-07-15T02:05:12.9871502Z,conn1,34000,238000,0.97
2026-07-15T02:05:12.9897834Z,conn2,34000,272000,0.72
2026-07-15T02:05:13.0124013Z,conn2,34000,340000,1.43
2026-07-15T02:05:13.0361921Z,conn1,34000,306000,0.67
2026-07-15T02:05:13.0433549Z,conn2,34000,408000,1.07
2026-07-15T02:05:13.0694163Z,conn1,34000,374000,0.99
2026-07-15T02:05:13.0816726Z,conn2,45150,476000,1.12
2026-07-15T02:05:13.1076536Z,conn1,22850,453150,0.58
2026-07-15T02:05:13.1132415Z,conn2,45333,544000,1.39
2026-07-15T02:05:13.1321841Z,conn1,22667,521333,0.88
2026-07-15T02:05:13.137915Z,conn2,34000,612000,1.31
2026-07-15T02:05:13.151358Z,conn1,22667,589333,1.16
2026-07-15T02:05:13.1675251Z,conn2,34000,680000,1.10
2026-07-15T02:05:13.18969Z,conn1,34000,646000,0.87
2026-07-15T02:05:13.2150393Z,conn2,38789,748000,0.80
2026-07-15T02:05:13.223701Z,conn1,29211,718789,0.82
2026-07-15T02:05:13.2523132Z,conn2,43209,816000,1.11
2026-07-15T02:05:13.2543882Z,conn1,24791,791209,0.78
2026-07-15T02:05:13.2847144Z,conn2,40799,884000,1.25
2026-07-15T02:05:13.2852662Z,conn1,24791,859209,0.78
2026-07-15T02:05:13.2993582Z,conn2,25859,952000,1.68
2026-07-15T02:05:13.3172624Z,conn1,27201,924799,0.81
2026-07-15T02:05:13.3243343Z,conn2,25859,1020000,0.99
2026-07-15T02:05:13.365578Z,conn1,42141,977859,0.84
